,Sales_ID,Brand_Name,Car_Name,Year,Selling_Price,km_Driven,City_Code,State_Code,Postal_Code,Fuel,Seller_Type,Transmission,Owner,Mileage,Max_Power,Engine,Seats,City_Name
2103,2169,Mahindra, Xylo E8 ABS Airbag,2010,320000,40000,CT10,ST12,560037,Diesel,Individual,Manual,Second Owner,14.0,112.0,2498.0,7,Bangalore
2104,2170,Mahindra, Scorpio LX,2013,520000,110000,CT14,ST07,395007,Diesel,Individual,Manual,First Owner,12.05,120.0,2179.0,9,Surat
2105,2171,Tata, New Safari DICOR 2.2 LX 4x2,2007,250000,80000,CT26,ST15,431001,Diesel,Individual,Manual,Second Owner,11.57,138.1,2179.0,7,Aurangabad
2106,2172,Maruti, Vitara Brezza ZDi,2017,725000,60000,CT03,ST24,600018,Diesel,Individual,Manual,First Owner,24.3,88.5,1248.0,5,Chennai
2107,2173,Mahindra, Bolero 2011-2019 SLX,2015,585000,50000,CT21,ST27,248001,Diesel,Individual,Manual,First Owner,15.96,62.1,2523.0,7,Dehradun
2108,2174,Tata, Tiago 1.2 Revotron XZ,2017,430000,25000,CT24,ST13,680001,Petrol,Individual,Manual,First Owner,23.84,84.0,1199.0,5,Thrissur
2109,2175,Maruti, Swift VDI,2011,235000,100000,CT28,ST11,834001,Diesel,Individual,Manual,Second Owner,22.9,74.0,1248.0,5,Ranchi
2110,2176,Maruti, Swift Dzire VDi,2012,350000,52000,CT06,ST22,302029,Diesel,Individual,Manual,Third Owner,19.3,73.9,1248.0,5,Jaipur
2111,2177,Hyundai, i10 Era 1.1,2010,131000,80000,CT27,ST11,831001,Petrol,Individual,Manual,Third Owner,19.81,68.05,1086.0,5,Jamshedpur
2112,2178,Honda, Amaze VX i-DTEC,2016,450000,85000,CT28,ST11,834001,Diesel,Individual,Manual,First Owner,25.8,98.6,1498.0,5,Ranchi
2113,2179,Maruti, Vitara Brezza ZDi Plus,2016,750000,83000,CT07,ST13,682001,Diesel,Individual,Manual,First Owner,24.3,88.5,1248.0,5,Kochi
2114,2180,Maruti, Alto 800 LXI,2013,200000,50000,CT01,ST15,400053,Petrol,Individual,Manual,First Owner,22.74,47.3,796.0,5,Mumbai
2115,2181,Maruti, Wagon R LXI Minor,2009,125000,120000,CT29,ST24,632001,Petrol,Individual,Manual,Fourth & Above Owner,18.9,67.0,1061.0,5,Vellore
2116,2182,Mahindra, Bolero 2011-2019 SLE,2014,500000,100000,CT19,ST12,570004,Diesel,Individual,Manual,First Owner,15.96,62.1,2523.0,7,Mysore
2117,2183,Maruti, Swift VDI,2012,380000,70000,CT27,ST11,831001,Diesel,Individual,Manual,Third Owner,22.9,74.0,1248.0,5,Jamshedpur
2118,2184,Maruti, Alto LXi,2008,128000,19000,CT25,ST01,524225,Petrol,Individual,Manual,First Owner,19.7,46.3,796.0,5,Nellore
2119,2185,Honda, City 1.5 S MT,2009,250000,68600,CT20,ST28,208002,Petrol,Individual,Manual,Third Owner,17.0,118.0,1497.0,5,kanpur
2120,2186,Mahindra, Bolero Power Plus SLX,2017,690000,60000,CT06,ST22,302029,Diesel,Individual,Manual,First Owner,16.5,70.0,1493.0,7,Jaipur
2121,2187,Mahindra, Bolero 2011-2019 SLX,2014,650000,65000,CT20,ST28,208002,Diesel,Individual,Manual,Second Owner,15.96,62.1,2523.0,7,kanpur
2122,2188,Honda, City E,2012,560000,40000,CT02,ST15,411006,Petrol,Individual,Manual,Second Owner,16.8,116.3,1497.0,5,Pune
2123,2190,Maruti, Celerio VXI,2016,400000,25000,CT12,ST28,201301,Petrol,Individual,Manual,First Owner,23.1,67.04,998.0,5,Noida
2124,2191,Maruti, Alto K10 LXI,2012,200000,29500,CT04,ST24,641043,Petrol,Individual,Manual,First Owner,20.92,67.1,998.0,5,Coimbatore
2125,2192,Hyundai, Verna VTVT 1.6 SX,2018,950000,13887,CT21,ST27,248001,Petrol,Individual,Manual,First Owner,17.0,121.3,1591.0,5,Dehradun
2126,2193,Maruti, Alto 800 VXI,2016,300000,50000,CT28,ST11,834001,Petrol,Individual,Manual,Second Owner,22.74,47.3,796.0,5,Ranchi
2127,2194,Renault, KWID RXL,2016,315000,30000,CT26,ST15,431001,Petrol,Individual,Manual,Second Owner,25.17,53.3,799.0,5,Aurangabad
2128,2195,Maruti, Alto 800 LXI,2012,220000,100000,CT01,ST15,400053,Petrol,Individual,Manual,First Owner,22.74,47.3,796.0,5,Mumbai
2129,2196,Chevrolet, Aveo 1.4 LS,2011,130000,60000,CT05,ST25,500020,Petrol,Individual,Manual,Second Owner,14.49,92.7,1399.0,5,Hyderabad
2130,2197,Hyundai, i20 Sportz Option 1.4 CRDi,2016,595000,60000,CT05,ST25,500020,Diesel,Individual,Manual,Second Owner,22.54,88.73,1396.0,5,Hyderabad
2131,2198,Tata, Indica Vista TDI LS,2011,110000,120000,CT02,ST15,411006,Diesel,Individual,Manual,First Owner,19.4,70.0,1405.0,5,Pune
2132,2199,Ford, EcoSport 1.5 Petrol Ambiente BSIV,2017,680000,13500,CT14,ST07,395007,Petrol,Individual,Manual,First Owner,17.0,121.36,1497.0,5,Surat
2133,2200,Fiat, Grande Punto Active (Diesel),2013,280000,52000,CT04,ST24,641043,Diesel,Individual,Manual,First Owner,20.3,75.0,1248.0,5,Coimbatore
2134,2201,Maruti, Baleno Delta 1.2,2017,530000,30000,CT28,ST11,834001,Petrol,Individual,Manual,Second Owner,21.4,83.1,1197.0,5,Ranchi
2135,2202,Hyundai, Xcent 1.2 Kappa SX Option,2017,610000,14000,CT14,ST07,395007,Petrol,Individual,Manual,First Owner,19.1,82.0,1197.0,5,Surat
2136,2203,Tata, Aria Pure LX 4x2,2014,500000,90000,CT05,ST25,500020,Diesel,Individual,Manual,Second Owner,15.05,147.9,2179.0,7,Hyderabad
2137,2204,Tata, Tigor 1.05 Revotorq XM,2018,500000,50000,CT01,ST15,400053,Diesel,Individual,Manual,First Owner,24.7,69.0,1047.0,5,Mumbai
2138,2205,Mahindra, Xylo D2,2010,250000,120000,CT25,ST01,524225,Diesel,Individual,Manual,Second Owner,13.0,95.0,2489.0,8,Nellore
2139,2206,Hyundai, EON Magna Plus,2018,325000,10000,CT07,ST13,682001,Petrol,Individual,Manual,First Owner,21.1,55.2,814.0,5,Kochi
2140,2207,Maruti, Baleno Delta 1.2,2018,550000,10000,CT04,ST24,641043,Petrol,Individual,Manual,First Owner,21.4,83.1,1197.0,5,Coimbatore
2141,2208,Maruti, Ciaz 1.4 Alpha,2018,720000,25000,CT24,ST13,680001,Petrol,Individual,Manual,First Owner,20.73,91.1,1373.0,5,Thrissur
2142,2209,Hyundai, Verna VTVT 1.6 SX,2017,950000,20000,CT08,ST29,700053,Petrol,Individual,Manual,First Owner,17.0,121.3,1591.0,5,Kolkata
2143,2210,Maruti, Swift VDI,2013,350000,60000,CT07,ST13,682001,Diesel,Individual,Manual,First Owner,22.9,74.0,1248.0,5,Kochi
2144,2211,Hyundai, Grand i10 1.2 Kappa Sportz Option,2018,500000,40000,CT08,ST29,700053,Petrol,Individual,Manual,First Owner,18.9,81.86,1197.0,5,Kolkata
2145,2212,Maruti, Swift Dzire VDi,2012,380000,60000,CT08,ST29,700053,Diesel,Individual,Manual,First Owner,19.3,73.9,1248.0,5,Kolkata
2146,2213,Hyundai, Xcent 1.2 Kappa AT SX Option,2015,380000,50000,CT27,ST11,831001,Petrol,Individual,Automatic,First Owner,16.9,82.0,1197.0,5,Jamshedpur
2147,2214,Hyundai, Verna VTVT 1.6 SX,2017,900000,20000,CT01,ST15,400053,Petrol,Individual,Manual,First Owner,17.0,121.3,1591.0,5,Mumbai
2148,2215,Maruti, Alto 800 VXI,2017,295000,35000,CT16,ST23,737101,Petrol,Individual,Manual,First Owner,24.7,47.3,796.0,5,Gangtok
2149,2216,Maruti, Ciaz VDi Plus SHVS,2016,640000,40000,CT22,ST14,452003,Diesel,Individual,Manual,First Owner,28.09,88.5,1248.0,5,Indore
2150,2217,Tata, Nexon 1.5 Revotorq XZ Plus,2018,790000,60000,CT21,ST27,248001,Diesel,Individual,Manual,First Owner,21.5,108.5,1497.0,5,Dehradun
2151,2218,Hyundai, Verna 1.6 VTVT S Option,2015,625000,20000,CT09,ST34,110029,Petrol,Individual,Manual,First Owner,17.01,121.4,1591.0,5,Delhi
2152,2219,Ford, EcoSport 1.5 Petrol Trend BSIV,2017,604000,30000,CT21,ST27,248001,Petrol,Individual,Manual,Second Owner,17.0,121.36,1497.0,5,Dehradun
2153,2220,Maruti, Alto K10 VXI,2015,315000,29000,CT14,ST07,395007,Petrol,Individual,Manual,First Owner,23.95,67.05,998.0,5,Surat
2154,2221,Mahindra, XUV300 W6 Diesel BSIV,2019,950000,17000,CT15,ST20,751022,Diesel,Individual,Manual,First Owner,20.0,115.0,1497.0,5,Bhubaneshwar
2155,2222,Maruti, Wagon R VXI Plus Optional,2017,400000,50000,CT17,ST07,391510,Petrol,Individual,Manual,First Owner,20.51,67.04,998.0,5,Vadodara
2156,2223,Hyundai, i20 1.4 Magna AT,2018,700000,42000,CT07,ST13,682001,Petrol,Individual,Automatic,First Owner,18.6,98.63,1368.0,5,Kochi
2157,2224,Toyota, Innova 2.5 G (Diesel) 8 Seater BS IV,2011,700000,120000,CT17,ST07,391510,Diesel,Individual,Manual,Second Owner,12.8,102.0,2494.0,8,Vadodara
2158,2225,Mahindra, Verito 1.5 D4 BSIV,2012,260000,110000,CT03,ST24,600018,Diesel,Individual,Manual,First Owner,21.03,65.0,1461.0,5,Chennai
2159,2226,Tata, Indigo CR4,2012,200000,90000,CT08,ST29,700053,Diesel,Individual,Manual,First Owner,23.57,70.0,1396.0,5,Kolkata
2160,2227,Maruti, Dzire VXI,2020,580000,70000,CT11,ST07,380052,Petrol,Individual,Manual,First Owner,23.26,88.5,1197.0,5,Ahmedabad
2161,2228,Volkswagen, Vento IPL II Diesel Trendline,2011,330000,66000,CT12,ST28,201301,Diesel,Individual,Manual,Second Owner,20.5,105.0,1598.0,5,Noida
2162,2229,Hyundai, Verna Transform CRDi VGT SX ABS,2011,400000,70000,CT03,ST24,600018,Diesel,Individual,Manual,Third Owner,16.2,110.0,1493.0,5,Chennai
2163,2230,Hyundai, Creta 1.6 SX Automatic,2018,1350000,5000,CT13,ST04,800002,Petrol,Individual,Automatic,First Owner,14.8,121.3,1591.0,5,Patna
2164,2231,Mahindra, Verito 1.5 D4 BSIV,2014,250000,50000,CT16,ST23,737101,Diesel,Individual,Manual,Second Owner,21.03,65.0,1461.0,5,Gangtok
2165,2232,Skoda, Rapid 1.6 MPI Ambition BSIV,2019,725000,25000,CT18,ST21,141003,Petrol,Individual,Manual,First Owner,15.41,103.2,1598.0,5,Ludhiana
2166,2233,Maruti, Swift Dzire Tour LDI,2013,300000,70000,CT02,ST15,411006,Diesel,Individual,Manual,First Owner,23.4,74.0,1248.0,5,Pune
2167,2234,Maruti, 800 AC,2006,120000,40000,CT22,ST14,452003,Petrol,Individual,Manual,Second Owner,16.1,37.0,796.0,4,Indore
2168,2235,Mahindra, XUV500 W10 2WD,2016,1175000,110000,CT14,ST07,395007,Diesel,Individual,Manual,First Owner,16.0,140.0,2179.0,7,Surat
2169,2236,Tata, New Safari DICOR 2.2 VX 4x4,2009,380000,150000,CT12,ST28,201301,Diesel,Individual,Manual,First Owner,13.93,138.0,2179.0,7,Noida
2170,2237,Tata, Indica Vista TDI LX,2014,400000,45000,CT07,ST13,682001,Diesel,Individual,Manual,First Owner,19.1,70.0,1405.0,5,Kochi
2171,2238,Tata, Indigo LX,2005,140000,90000,CT13,ST04,800002,Diesel,Individual,Manual,Third Owner,16.1,70.0,1405.0,5,Patna
2172,2239,Tata, New Safari DICOR 2.2 EX 4x2,2011,229999,140000,CT16,ST23,737101,Diesel,Individual,Manual,Second Owner,11.57,138.1,2179.0,7,Gangtok
2173,2240,Ford, Ikon 1.3 CLXi,2003,110000,83000,CT28,ST11,834001,Petrol,Individual,Manual,Second Owner,13.8,70.0,1299.0,5,Ranchi
2174,2241,Volkswagen, Jetta 2.0L TDI Highline AT,2011,550000,106000,CT19,ST12,570004,Diesel,Individual,Automatic,Second Owner,16.96,138.1,1968.0,5,Mysore
2175,2242,Chevrolet, Aveo U-VA 1.2 LS,2008,150000,60000,CT19,ST12,570004,Petrol,Individual,Manual,Fourth & Above Owner,15.26,74.9,1150.0,5,Mysore
2176,2243,Maruti, Omni E MPI STD BS IV,2017,265000,40000,CT06,ST22,302029,Petrol,Individual,Manual,Second Owner,16.8,34.2,796.0,8,Jaipur
2177,2244,Hyundai, i20 1.2 Asta,2011,300000,138000,CT18,ST21,141003,Petrol,Individual,Manual,Third Owner,17.0,80.0,1197.0,5,Ludhiana
2178,2245,Maruti, Alto 800 LXI,2015,280000,80000,CT27,ST11,831001,Petrol,Individual,Manual,First Owner,22.74,47.3,796.0,5,Jamshedpur
2179,2246,Hyundai, Getz GLS,2005,130000,50000,CT23,ST12,574142,Petrol,Individual,Manual,Second Owner,15.3,83.0,1341.0,5,Mangalore
2180,2247,Chevrolet, Sail 1.2 LS ABS,2015,350000,50000,CT04,ST24,641043,Petrol,Individual,Manual,First Owner,18.2,82.4,1199.0,5,Coimbatore
2181,2248,Maruti, Ritz VXi,2009,200000,120000,CT05,ST25,500020,Petrol,Individual,Manual,First Owner,18.5,85.8,1197.0,5,Hyderabad
2182,2249,Maruti, Swift VXI,2018,550000,24400,CT14,ST07,395007,Petrol,Individual,Manual,First Owner,22.0,81.8,1197.0,5,Surat
2183,2250,Mahindra, Bolero 2011-2019 SLX,2013,400000,60000,CT18,ST21,141003,Diesel,Individual,Manual,Second Owner,15.96,62.1,2523.0,7,Ludhiana
2184,2251,Maruti, Ritz VXi (ABS) BS IV,2010,170000,120000,CT12,ST28,201301,Petrol,Individual,Manual,Second Owner,18.5,85.8,1197.0,5,Noida
2185,2252,Hyundai, Verna 1.4 CRDi,2015,600000,60000,CT04,ST24,641043,Diesel,Individual,Manual,Second Owner,24.8,88.7,1396.0,5,Coimbatore
2186,2253,Maruti, Alto LXi,2011,130000,100000,CT25,ST01,524225,Petrol,Individual,Manual,Second Owner,19.7,46.3,796.0,5,Nellore
2187,2255,Maruti, 800 AC,2011,100000,120000,CT28,ST11,834001,Petrol,Individual,Manual,Second Owner,16.1,37.0,796.0,4,Ranchi
2188,2256,Renault, KWID RXT,2016,310000,27500,CT04,ST24,641043,Petrol,Individual,Manual,First Owner,25.17,53.3,799.0,5,Coimbatore
2189,2257,Maruti, 800 AC,2007,35000,10000,CT25,ST01,524225,Petrol,Individual,Manual,First Owner,16.1,37.0,796.0,4,Nellore
2190,2258,Hyundai, i20 Magna,2010,200000,120000,CT10,ST12,560037,Petrol,Individual,Manual,Third Owner,18.5,80.0,1197.0,5,Bangalore
2191,2260,Hyundai, i20 Sportz 1.4 CRDi,2015,650000,80000,CT24,ST13,680001,Diesel,Individual,Manual,First Owner,22.54,88.73,1396.0,5,Thrissur
2192,2261,Tata, Indigo eCS GLS,2013,210000,120000,CT24,ST13,680001,Petrol,Individual,Manual,First Owner,15.64,64.1,1193.0,5,Thrissur
2193,2262,Hyundai, Xcent 1.1 CRDi S Option,2015,509999,90000,CT29,ST24,632001,Diesel,Individual,Manual,First Owner,24.4,71.01,1120.0,5,Vellore
2194,2263,Ford, Figo Diesel Celebration Edition,2013,229999,70000,CT27,ST11,831001,Diesel,Individual,Manual,First Owner,20.0,68.1,1399.0,5,Jamshedpur
2195,2264,Renault, Duster 110PS Diesel RxZ,2014,409999,188000,CT25,ST01,524225,Diesel,Individual,Manual,Second Owner,19.01,108.45,1461.0,5,Nellore
2196,2265,Chevrolet, Spark 1.0 LT,2011,130000,67840,CT21,ST27,248001,Petrol,Individual,Manual,First Owner,18.0,62.0,995.0,5,Dehradun
2197,2266,Tata, Nano CX,2013,95000,30000,CT04,ST24,641043,Petrol,Individual,Manual,First Owner,25.4,37.48,624.0,4,Coimbatore
2198,2267,Maruti, Alto 800 LXI,2016,225000,35000,CT10,ST12,560037,Petrol,Individual,Manual,Second Owner,22.74,47.3,796.0,5,Bangalore
2199,2269,Maruti, Vitara Brezza VDi Option,2017,775000,100000,CT04,ST24,641043,Diesel,Individual,Manual,First Owner,24.3,88.5,1248.0,5,Coimbatore
2200,2270,Maruti, Wagon R VXI BS IV,2017,420000,30000,CT07,ST13,682001,Petrol,Individual,Manual,First Owner,20.51,67.04,998.0,5,Kochi
2201,2271,Hyundai, Grand i10 Sportz Celebration Edition,2016,480000,70000,CT12,ST28,201301,Petrol,Individual,Manual,First Owner,18.9,82.0,1197.0,5,Noida
2202,2273,Mahindra, Bolero SLE,2010,260000,380000,CT16,ST23,737101,Diesel,Individual,Manual,Second Owner,13.6,63.0,2523.0,7,Gangtok
2203,2275,Volkswagen, Polo 2015-2019 1.2 MPI Highline Plus,2018,600000,15000,CT21,ST27,248001,Petrol,Individual,Manual,First Owner,16.2,74.0,1199.0,5,Dehradun
2204,2276,Ford, Ikon 1.4 TDCi DuraTorq,2009,140000,140000,CT07,ST13,682001,Diesel,Individual,Manual,Second Owner,13.8,68.0,1399.0,5,Kochi
2205,2277,Maruti, Omni 8 Seater BSII,2010,130000,120000,CT09,ST34,110029,Petrol,Individual,Manual,Third Owner,19.7,35.0,796.0,8,Delhi
2206,2278,Maruti, Swift VDI BSIV,2007,195000,112880,CT24,ST13,680001,Diesel,Dealer,Manual,First Owner,25.2,74.0,1248.0,5,Thrissur
2207,2279,Tata, Indica Vista TDI LS,2013,210000,135000,CT14,ST07,395007,Diesel,Dealer,Manual,Second Owner,19.4,70.0,1405.0,5,Surat
2208,2280,Maruti, Wagon R LX,2006,130000,80000,CT09,ST34,110029,Petrol,Individual,Manual,Third Owner,18.9,67.1,998.0,5,Delhi
2209,2281,Chevrolet, Beat LT,2012,141000,128000,CT05,ST25,500020,Petrol,Individual,Manual,Third Owner,18.6,79.4,1199.0,5,Hyderabad
2210,2282,Mahindra, Bolero SLE BSIII,2011,280000,120000,CT05,ST25,500020,Diesel,Individual,Manual,First Owner,13.6,63.0,2523.0,7,Hyderabad
2211,2283,Maruti, SX4 ZXI AT Leather,2010,350000,30000,CT28,ST11,834001,Petrol,Individual,Automatic,First Owner,12.6,103.2,1586.0,5,Ranchi
2212,2284,Tata, Nexon 1.2 Revotron XM,2018,575000,70000,CT24,ST13,680001,Petrol,Individual,Manual,First Owner,17.0,108.5,1198.0,5,Thrissur
2213,2285,Hyundai, i20 Sportz Option 1.2,2015,550000,41000,CT11,ST07,380052,Petrol,Individual,Manual,First Owner,18.6,81.83,1197.0,5,Ahmedabad
2214,2287,Maruti, Alto LX,2006,120000,30000,CT29,ST24,632001,Petrol,Individual,Manual,Second Owner,19.7,46.3,796.0,5,Vellore
2215,2288,Maruti, Alto K10 VXI,2015,320000,30000,CT08,ST29,700053,Petrol,Individual,Manual,First Owner,23.95,67.05,998.0,5,Kolkata
2216,2289,Hyundai, Accent Executive,2011,250000,35000,CT07,ST13,682001,Petrol,Individual,Manual,First Owner,16.36,93.7,1495.0,5,Kochi
2217,2290,Maruti, SX4 Zxi BSIII,2010,300000,22000,CT06,ST22,302029,Petrol,Individual,Manual,First Owner,15.0,104.68,1586.0,5,Jaipur
2218,2291,Maruti, Wagon R VXI,2006,250000,70000,CT18,ST21,141003,Petrol,Individual,Manual,First Owner,18.9,67.1,998.0,5,Ludhiana
2219,2293,Mahindra, Bolero 2011-2019 mHAWK D70 ZLX,2018,750000,70000,CT08,ST29,700053,Diesel,Individual,Manual,First Owner,16.5,70.0,1493.0,7,Kolkata
2220,2294,Mahindra, Scorpio 2.6 CRDe,2005,151000,200000,CT10,ST12,560037,Diesel,Individual,Manual,Second Owner,10.5,120.0,2179.0,8,Bangalore
2221,2295,Tata, Safari DICOR 2.2 EX 4x2,2011,300000,120000,CT26,ST15,431001,Diesel,Individual,Manual,First Owner,13.93,138.03,2179.0,7,Aurangabad
2222,2296,Maruti, Ignis 1.2 Zeta BSIV,2019,577000,3000,CT11,ST07,380052,Petrol,Individual,Manual,First Owner,20.89,81.8,1197.0,5,Ahmedabad
2223,2297,Maruti, Alto K10 2010-2014 VXI,2012,229999,50000,CT13,ST04,800002,Petrol,Individual,Manual,First Owner,20.92,67.1,998.0,5,Patna
2224,2298,Mahindra, Bolero 2011-2019 ZLX,2013,500000,50000,CT28,ST11,834001,Diesel,Individual,Manual,First Owner,15.96,62.1,2523.0,7,Ranchi
2225,2299,Honda, Jazz VX CVT,2019,840000,1500,CT16,ST23,737101,Petrol,Individual,Automatic,First Owner,18.2,88.7,1199.0,5,Gangtok
2226,2300,Volkswagen, Vento 1.5 TDI Highline,2017,900000,74000,CT25,ST01,524225,Diesel,Individual,Manual,First Owner,22.27,108.6,1498.0,5,Nellore
2227,2301,Honda, Jazz 1.2 V i VTEC,2017,650000,25000,CT25,ST01,524225,Petrol,Individual,Manual,First Owner,18.7,88.7,1199.0,5,Nellore
2228,2302,Honda, Jazz 1.5 VX i DTEC,2016,650000,61915,CT17,ST07,391510,Diesel,Individual,Manual,First Owner,27.3,98.6,1498.0,5,Vadodara
2229,2303,Hyundai, EON Era Plus,2016,250000,110000,CT21,ST27,248001,Petrol,Individual,Manual,First Owner,21.1,55.2,814.0,5,Dehradun
2230,2304,Volkswagen, Polo 1.5 TDI Comfortline,2016,550000,70000,CT17,ST07,391510,Diesel,Individual,Manual,First Owner,20.14,88.0,1498.0,5,Vadodara
2231,2305,Maruti, Swift Ldi BSIII,2007,250000,150000,CT27,ST11,831001,Diesel,Individual,Manual,Fourth & Above Owner,17.8,75.0,1248.0,5,Jamshedpur
2232,2306,Mahindra, Quanto C4,2013,350000,110000,CT14,ST07,395007,Diesel,Individual,Manual,Second Owner,17.21,100.0,1493.0,7,Surat
2233,2307,Chevrolet, Beat Diesel LT,2014,185000,90000,CT23,ST12,574142,Diesel,Individual,Manual,Second Owner,25.44,56.3,936.0,5,Mangalore
2234,2308,Ford, Figo Petrol Titanium,2010,229999,120000,CT12,ST28,201301,Petrol,Individual,Manual,Third Owner,15.6,70.0,1196.0,5,Noida
2235,2309,Toyota, Innova 2.5 G (Diesel) 8 Seater,2016,1000000,65000,CT12,ST28,201301,Diesel,Individual,Manual,First Owner,12.99,100.6,2494.0,8,Noida
2236,2310,Maruti, Wagon R VXI 1.2,2019,490000,10000,CT21,ST27,248001,Petrol,Individual,Manual,First Owner,20.52,81.8,1197.0,5,Dehradun
2237,2311,Hyundai, i10 Sportz,2009,150000,80000,CT19,ST12,570004,Petrol,Individual,Manual,Second Owner,20.36,78.9,1197.0,5,Mysore
2238,2312,Maruti, Ertiga VDI,2013,600000,184000,CT12,ST28,201301,Diesel,Individual,Manual,First Owner,20.77,88.76,1248.0,7,Noida
2239,2313,Maruti, Wagon R CNG LXI,2013,270000,80000,CT24,ST13,680001,CNG,Individual,Manual,Second Owner,32.52,58.33,998.0,5,Thrissur
2240,2314,Maruti, Zen LXi - BS III,2005,60000,70000,CT15,ST20,751022,Petrol,Individual,Manual,Second Owner,17.3,60.0,993.0,5,Bhubaneshwar
2241,2315,Maruti, SX4 Zxi with Leather BSIII,2008,150000,89000,CT02,ST15,411006,Petrol,Individual,Manual,Second Owner,15.6,104.68,1586.0,5,Pune
2242,2316,Honda, Brio Exclusive Edition,2014,335000,33033,CT29,ST24,632001,Petrol,Dealer,Manual,First Owner,19.4,86.8,1198.0,5,Vellore
2243,2317,Maruti, Swift VDI,2013,525000,69000,CT17,ST07,391510,Diesel,Individual,Manual,Second Owner,22.9,74.0,1248.0,5,Vadodara
2244,2318,Hyundai, Grand i10 AT Asta,2015,465000,63063,CT07,ST13,682001,Petrol,Dealer,Automatic,First Owner,18.9,82.0,1197.0,5,Kochi
2245,2319,Tata, Indica V2 eLX,2012,83000,90000,CT27,ST11,831001,Diesel,Individual,Manual,Second Owner,25.0,69.0,1396.0,5,Jamshedpur
2246,2320,Hyundai, EON Era Plus,2017,300000,8000,CT24,ST13,680001,Petrol,Individual,Manual,First Owner,21.1,55.2,814.0,5,Thrissur
2247,2321,Hyundai, i20 1.2 Sportz,2012,350000,35000,CT22,ST14,452003,Petrol,Individual,Manual,First Owner,17.0,80.0,1197.0,5,Indore
2248,2322,Hyundai, i20 1.2 Sportz,2011,300000,45000,CT16,ST23,737101,Petrol,Individual,Manual,First Owner,17.0,80.0,1197.0,5,Gangtok
2249,2323,Fiat, Linea 1.3 Active,2011,250000,30000,CT10,ST12,560037,Diesel,Individual,Manual,First Owner,20.4,91.2,1248.0,5,Bangalore
2250,2324,Maruti, 800 Std,2006,114999,59000,CT08,ST29,700053,Petrol,Individual,Manual,Second Owner,16.1,37.0,796.0,4,Kolkata
2251,2325,Maruti, Ertiga VXI Petrol,2018,700000,6200,CT19,ST12,570004,Petrol,Individual,Manual,First Owner,19.34,103.0,1462.0,7,Mysore
2252,2326,Maruti, Celerio X ZXI,2020,250000,120000,CT15,ST20,751022,Petrol,Individual,Manual,Second Owner,21.63,67.0,998.0,5,Bhubaneshwar
2253,2327,Maruti, Wagon R LXI BS IV,2016,350000,70000,CT17,ST07,391510,Petrol,Individual,Manual,First Owner,20.51,67.04,998.0,5,Vadodara
2254,2328,Maruti, Omni 5 Str STD,1998,80000,70000,CT02,ST15,411006,Petrol,Individual,Manual,First Owner,14.0,35.0,796.0,5,Pune
2255,2329,Mahindra, Scorpio S2 7 Seater,2017,850000,110000,CT07,ST13,682001,Diesel,Individual,Manual,First Owner,15.4,75.0,2523.0,7,Kochi
2256,2331,Chevrolet, Spark 1.0 LS,2007,90000,93000,CT09,ST34,110029,Petrol,Individual,Manual,Third Owner,18.0,62.0,995.0,5,Delhi
2257,2332,Chevrolet, Tavera Neo 3 10 Seats BSIII,2014,600000,110000,CT18,ST21,141003,Diesel,Individual,Manual,First Owner,13.58,72.4,2499.0,10,Ludhiana
2258,2333,Maruti, Alto LX,2007,135000,57000,CT10,ST12,560037,Petrol,Individual,Manual,First Owner,19.7,46.3,796.0,5,Bangalore
2259,2334,Hyundai, Accent GLE,2005,150000,120000,CT25,ST01,524225,Petrol,Individual,Manual,First Owner,13.2,94.0,1495.0,5,Nellore
2260,2335,Tata, Indigo CS eLX BS IV,2012,259000,35000,CT10,ST12,560037,Diesel,Individual,Manual,First Owner,23.03,69.0,1396.0,5,Bangalore
2261,2336,Tata, Indigo CS eLS BS IV,2012,220000,90000,CT08,ST29,700053,Diesel,Individual,Manual,First Owner,23.03,69.0,1396.0,5,Kolkata
2262,2337,Tata, Indigo eCS LX BSIV,2012,246000,35000,CT18,ST21,141003,Diesel,Individual,Manual,Second Owner,23.03,69.0,1396.0,5,Ludhiana
2263,2338,Maruti, Swift Dzire VXi,2009,240000,120000,CT28,ST11,834001,Petrol,Individual,Manual,First Owner,17.5,85.8,1298.0,5,Ranchi
2264,2339,Hyundai, Creta 1.4 E Plus,2018,946000,60000,CT01,ST15,400053,Diesel,Individual,Manual,First Owner,22.1,88.7,1396.0,5,Mumbai
2265,2340,Tata, Indigo eCS LX BSIV,2011,215000,70000,CT20,ST28,208002,Diesel,Individual,Manual,First Owner,23.03,69.0,1396.0,5,kanpur
2266,2341,Maruti, Zen LX,1999,50000,60000,CT15,ST20,751022,Petrol,Individual,Manual,Fourth & Above Owner,17.3,60.0,993.0,5,Bhubaneshwar
2267,2342,Honda, Amaze S i-Dtech,2013,310000,100000,CT17,ST07,391510,Diesel,Individual,Manual,First Owner,25.8,98.6,1498.0,5,Vadodara
2268,2343,Hyundai, i10 Magna,2008,220000,35000,CT14,ST07,395007,Petrol,Individual,Manual,First Owner,20.36,78.9,1197.0,5,Surat
2269,2344,Maruti, Swift Vdi BSIII,2008,195000,90000,CT20,ST28,208002,Diesel,Individual,Manual,Third Owner,17.8,75.0,1248.0,5,kanpur
